OBJECTID,REFNUM,SignificantName,OtherName,Location,StreetIndex,County,Architect,Builder,BeginYear,EndYear,SurveyType,SurveyDate,PIN,GlobalID,x,y,Reference Number,Url_img,Item ID,URL
54650,200374,Mundelein College Skyscraper Building, ,6363 N. Sheridan Rd.,"Sheridan, N",Cook,"Fisher, Nairne W.; McCarthy, Joesph W.", ,1929,1929,National Register Application,10/15/79,,30951dc7-93a8-4c44-8e28-b4d0bde4c4a5,-9757911.031,5160748.106799996,200374,,e0848dfd89c7430b9adf3405e5ad13d4,https://idnr.maps.arcgis.com/sharing/rest/content/items/e0848dfd89c7430b9adf3405e5ad13d4/data
54651,200375,Pattington Apartments, ,660--700 Irving Park Rd.,Irving Park Raod,Cook,"Sandegren, Andrew; Postle, David E.",Telford & McWade,1902,1906,Chicago Historic Resources Survey,1983-1994,,215d6129-7dde-416d-b697-937b21ede577,-9756961.139,5154214.346,200375,,57c74d064d864c3facfd57748d39bbe0,https://idnr.maps.arcgis.com/sharing/rest/content/items/57c74d064d864c3facfd57748d39bbe0/data
54652,200376,Sheridan Plaza Hotel, ,4601--4613 N. Sheridan Rd.,"Sheridan, N",Cook,"Ahlschlager, Walter W.", ,1920,1921,National Register Application,7/24/80,,965da714-953b-4ce2-91cc-34a88bf89e3f,-9757658.677,5155840.701800004,200376,,ba8cb5dbcb7645d2aa029c521f23a92a,https://idnr.maps.arcgis.com/sharing/rest/content/items/ba8cb5dbcb7645d2aa029c521f23a92a/data
54653,200377,Story-Camp Rowhouses, ,1526--1528 W. Monroe St.,"Monroe, W",Cook,, ,1870,1870,Structures,1971-1975,,aca73849-da8e-460b-a862-a1d7f693ebd9,-9758902.655,5143015.760799994,200377,,5c7d420b46d0466e803966b219b23bae,https://idnr.maps.arcgis.com/sharing/rest/content/items/5c7d420b46d0466e803966b219b23bae/data
54688,200198,Lakeview Historic District,Includes Boundary Extension,"Roughly bounded by Wrightwood, Lakeview, Sheridan, Belmont, Halsted, Wellington, Racine, and George. Increase 701, 705, 711, 715-717, 721, 733-735, 737, and 739 Belmont Ave., 3162 and 3164 N. Orchard, and 3171 Halsted Sts.",Wrightwood,Cook,, ,,,National Register Application,,,aacf996c-5646-4306-9a8e-0e1d014a67f9,-9756635.886,5151410.304200001,200198,,e0c4b90788ef410f852a93587f2329de,https://idnr.maps.arcgis.com/sharing/rest/content/items/e0c4b90788ef410f852a93587f2329de/data
54720,164342,Anderson-Carlson Building,,2044-48 W. Farwell Ave.,"Farwell, W",Cook,"Larson, Godfrey","Edlund, Edward",1928,1928,National Register Application,5-Apr,,d026e739-1dbb-4354-918a-25a92b4449a3,-9760784.753,5161971.943,164342,,c10df7f6944e4fd9b30a8b2f043843eb,https://idnr.maps.arcgis.com/sharing/rest/content/items/c10df7f6944e4fd9b30a8b2f043843eb/data
54724,164618,Continental and Commercial National Bank,,208 S. LaSalle St,"LaSalle, S",Cook,"Graham, Burnham & Co.; Graham, Anderson, Probst & White",,1914,1914,Tax Credit,7/14/06,,b91998f7-4d87-49c2-8fe3-731e4e8dfeb2,-9755149.934,5142884.462,164618,,732f760e713d410d975aec9e520d14de,https://idnr.maps.arcgis.com/sharing/rest/content/items/732f760e713d410d975aec9e520d14de/data
54725,164635,Lumber Exchange Building and Tower Addition,Roanoke Building,11 S. LaSalle St.,"LaSalle, S",Cook,"Holabird and Roche and Rebori, Dewey, Wentowrth and McCormick",,1914,1925,Tax Credit,11/20/06,,7a2bd4ad-3873-4f73-b78c-7771e480fe39,-9755159.573,5143281.371799995,164635,,528d859f0acd4ed9acc8ee66172665bb,https://idnr.maps.arcgis.com/sharing/rest/content/items/528d859f0acd4ed9acc8ee66172665bb/data
54726,164640,Building at 399 West Fullerton Parkway Building,,399 W. Fullerton Av,"Fullerton, W",Cook,McNally & Quinn,,1926,1927,Property Tax Assessment Freeze,12/8/06,,34d4971a-cc80-4c47-96b6-c56b648050ed,-9756014.974,5149805.883099999,164640,,53b1b68a7a2d45a688fc8df08139e9f2,https://idnr.maps.arcgis.com/sharing/rest/content/items/53b1b68a7a2d45a688fc8df08139e9f2/data
54728,164862,Otis Elevator Company Factory Building,,1435 W. 15th St/1501 S. Laflin St,"15th, W",Cook,"Treat, Samuel; Adler, Abraham; Jensen, J. Norman",,1900,1916,Tax Credit,5/15/08,,11e097e8-f78b-4e96-852a-d85d65134def,-9758629.49,5140226.629400002,164862,,4cfaca3b2dc545d4ac4c76a48c774d84,https://idnr.maps.arcgis.com/sharing/rest/content/items/4cfaca3b2dc545d4ac4c76a48c774d84/data
54729,164883,IBM Building,,330 N. Wabash Av,"Wabash, N",Cook,Ludwig Mies van der Rohe,,1969,1972,Tax Credit,7/16/08,,32d91927-1d7b-42e1-a934-562be46bb8ec,-9754653.3,5144312.808,164883,,041d0985bfc94197b379901cc9bbbe1e,https://idnr.maps.arcgis.com/sharing/rest/content/items/041d0985bfc94197b379901cc9bbbe1e/data
54739,200273,Art Institute of Chicago, ,Michigan Ave.,Mighigan,Cook,"Shepley, Rutan & Coolidge", ,1892,1892,National Register Application,,,8f9ee22e-d720-439c-8e08-5f508216586e,-9754300.82,5144422.985600001,,,,
54887,200094,First Presbyterian Church of Chicago, ,6400 S. Kimbark Ave.,"Kinbark, S",Cook, , ,,,National Register Application,,,4bddf21d-b7dd-4cda-8628-b4b4d53d624f,-9751013.648,5127874.391,,,,
54888,200152,Municipal Pier, ,200 Streeter Dr.,Streeter,Cook,"Shankland, E. C.", ,,,National Register Application,,,04f193b7-7a7b-4a87-a786-00f60030673f,-9752705.835,5144540.263800005,,,,
54895,200281,Sacred Heart Mission Church, ,11652 S. Church St.,"Church, S",Cook, , ,,,National Register Application,,,21a07ed3-077e-4a46-9051-3abfcc17a97d,-9759474.678,5113391.129699996,,,,
54896,200380,AVR 661, ,Calumet Harbor,Calumet Harbor,Cook,, ,,,National Register Application,,,447fdb41-9c49-46be-8f64-132fc3ac32a0,-9751330.42,5118156.611799998,,,,
54917,200492,"Hull, Charles, J., House","Addams, Jane, Hull-House",800 S. Halsted St.,"Halsted, S",Cook,, ,1856,1856,National Register Application,May-79,,d371459a-4fb6-434b-8132-21ec6cb35b95,-9756866.847,5141775.390699997,200492,,1f1bcf8eea8d46d4b07df47e15e4b164,https://idnr.maps.arcgis.com/sharing/rest/content/items/1f1bcf8eea8d46d4b07df47e15e4b164/data
54918,200494,"Taft, Lorado, Midway Studios", ,6016 S. Ingleside Ave.,"Ingleside, S",Cook,"Johnson, Otis Floyd", ,1929,1929,National Register Application,4/3/76,,6479e4e5-461b-404e-b6c4-581887751d3b,-9751975.271,5128910.710399999,200494,,3cb2f29cdae449fc9a51451d6b6b7359,https://idnr.maps.arcgis.com/sharing/rest/content/items/3cb2f29cdae449fc9a51451d6b6b7359/data
54921,200802,"Wells-Barnett, Ida B., House", ,3624 S. Dr. Martin Luther King Jr. Dr.,"Dr. Martin Luther King Jr., S",Cook,, ,1889,1890,Structures,1971-1975,,33f4a7b2-f46a-47a0-9787-4ca895c0d8fd,-9753533.465,5135505.420399998,200802,,1121c3cef48a43b7a60d3f442d0d182c,https://idnr.maps.arcgis.com/sharing/rest/content/items/1121c3cef48a43b7a60d3f442d0d182c/data
54922,200801,Tree Studio Building and Annexes, ,4 E. Ohio St.,"Ohio, E",Cook,Parfitt Brothers; Hill & Woltersdorf, ,1894,1894,Structures,1971-1975,,82b531e3-4e81-4388-8f4c-0a5347ad33f0,-9754677.188,5144933.256199999,200801,,4497e1119e724883a36703dcbdcbc42d,https://idnr.maps.arcgis.com/sharing/rest/content/items/4497e1119e724883a36703dcbdcbc42d/data
54924,200653,Douglas Tomb State Memorial, ,636 E. 35th St.,"35th, E",Cook,"Volk, Leonard W.", ,1881,1881,National Register Application,12/12/75,,3183babb-40fa-4964-9b09-8d83fc2efd28,-9752525.926,5135794.124599997,200653,,0ac26687cd37458ebb39cedb17d04b30,https://idnr.maps.arcgis.com/sharing/rest/content/items/0ac26687cd37458ebb39cedb17d04b30/data
54926,200763,"Lathrop, Bryan, House",Fortnightly Club of Chicago,120 E. Bellevue Pl.,"Bellevue, E",Cook,"McKim, Charles Follen", ,1892,1892,Structures,1971-1975,,ffd86820-63fa-486f-b0f3-665b4abac0bb,-9754391.555,5146241.989299997,200763,,f1c8c30652bd46b4a9200afa9f0ca14e,https://idnr.maps.arcgis.com/sharing/rest/content/items/f1c8c30652bd46b4a9200afa9f0ca14e/data
54933,200491,"First Self-Sustaining Nuclear Reaction, Site of","Fermi, Enrico, Memorial",S. Ellis Ave. between E. 56th and 57th Sts.,"Ellis, S",Cook,"Moore, Henry", ,1966,1967,National Register Application,1964,,c141e1b0-c916-44cb-ae75-2d03f388eb30,-9751700.956,5129934.77,200491,,8487d426da4e42459816236a09d7ef8a,https://idnr.maps.arcgis.com/sharing/rest/content/items/8487d426da4e42459816236a09d7ef8a/data
54935,200651,"Compton, Arthur Holly, House", ,5637 Woodlawn Ave.,Woodlawn,Cook,,Tetter,1916,1916,National Register Application,Jan-76,,4fbcab4e-5b16-4495-a52d-82f2d3f77de7,-9751171.235,5129870.957299999,200651,,b5bb6c27e20b4717b56b211767a89d78,https://idnr.maps.arcgis.com/sharing/rest/content/items/b5bb6c27e20b4717b56b211767a89d78/data
54936,200654,"Du Sable, Jean Baptiste Point, Homesite",Equitable Building,401 N. Michigan Ave.,"Michigan, N",Cook, , ,1965,1965,National Register Application,10/30/75,,0ec159c8-5129-4c99-b0b1-ed4935ceb64f,-9754190.705,5144465.632399997,200654,,f1ff2965bec24b3c965162376e5d430c,https://idnr.maps.arcgis.com/sharing/rest/content/items/f1ff2965bec24b3c965162376e5d430c/data
54937,200661,"Williams, Dr. Daniel Hale, House", ,445 E. 42nd St.,"42nd, E",Cook,, ,1906,1906,National Register Application,7/2/74,,d59af760-a281-4c10-a741-76523e4ac0de,-9753283.038,5133864.519599995,200661,,1b0f52685b6f4481b925631b0f28bd27,https://idnr.maps.arcgis.com/sharing/rest/content/items/1b0f52685b6f4481b925631b0f28bd27/data
54938,200706,"Lillie, Frank R., House", ,5801 S.  Kenwood Ave.,"Kenwood, S",Cook,Pond & Pond, ,1904,1904,National Register Application,1/27/76,,82c2af1d-b4b8-468c-bb5d-a8adf4e748ba,-9750786.749,5129490.360799999,200706,,2626ecb414de468e9a1c0b3cac199f1b,https://idnr.maps.arcgis.com/sharing/rest/content/items/2626ecb414de468e9a1c0b3cac199f1b/data
54939,200709,"Millikan, Robert A., House", ,5605 Woodlawn Ave.,Woodlawn,Cook,Tallmadge & Watson, ,1907,1907,National Register Application,Jan-76,,bfd53a4d-0ea2-4f92-8b85-58142e0f9a99,-9751185.388,5129978.687099998,200709,,5873c941b6e44c9587095630ca7be9f0,https://idnr.maps.arcgis.com/sharing/rest/content/items/5873c941b6e44c9587095630ca7be9f0/data
54943,200790,"De Priest, Oscar Stanton, House", ,4536--4538 S. Dr. Martin Luther King Jr. Dr.,"Dr. Martin Luther King Jr., S",Cook,, ,1920,1920,National Register Application,Dec-74,,b507631b-f543-4a85-abbf-1569bc329fbc,-9753583.701,5132812.986900005,200790,,4ba37df0fe0a4651875c13170e4fc24f,https://idnr.maps.arcgis.com/sharing/rest/content/items/4ba37df0fe0a4651875c13170e4fc24f/data
54947,200650,"Abbott, Robert S., House", ,4742 Dr. Martin Luther King Jr. Dr.,"Dr. Martin Luther King Jr., S",Cook,, ,,,National Register Application,6/30/76,,78af04e6-a50d-41d4-b05d-258b8da8c2cc,-9753380.982,5132558.852099993,200650,,960c716c69364fedbc33e6c3e91fadd9,https://idnr.maps.arcgis.com/sharing/rest/content/items/960c716c69364fedbc33e6c3e91fadd9/data
54967,200518,"Kent, Sydney, House",St. James Convent,2944 S. Michigan Ave.,"Michigan, S",Cook,"Root, John Wellborn", ,1882,1883,Landmarks,6/23/75,,809cc8df-3b0f-4641-a7b3-e1957b0d0e54,-9754278.595,5137140.365,200518,,9355ce9dd8064655beff7ea2fa57bdb0,https://idnr.maps.arcgis.com/sharing/rest/content/items/9355ce9dd8064655beff7ea2fa57bdb0/data
55000,200962,YMCA Hotel, ,820--828 S. Wabash Ave.,"Wabash, S",Cook,"Berlin, Robert C.; Rogers, James G.", ,1915,1916,National Register Application,12/4/87,,73d11f90-9d99-4b8b-8294-634188f867ad,-9753911.658,5141127.762100005,200962,,b4765b9c22d044ad9098cc86fa763351,https://idnr.maps.arcgis.com/sharing/rest/content/items/b4765b9c22d044ad9098cc86fa763351/data
